"#n iters","initial #n node","rule"
12,15,"step_erase_create"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic","symbolic_iteration","collisions","pre-final","final_iteration","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,41,,356364802,40043296980,3.978140e-01,,28.169483,0.7858959999999998,5.713511,13.404082,0.195018,0.054363999999999996,8.018253,,28.1076,0.36380974900982244,0.3668619986905778
1,36,38,,356295723,35895411648,3.653630e-01,,26.343449,0.6993199999999999,5.51763,12.139696,0.19566799999999998,0.065971,6.750057,,28.959001,0.3578544797296707,0.37850909654537057
1,36,35,,355945396,34301277360,3.381500e-01,,27.447071,0.761998,5.730742,12.164158,0.407174,0.06901800000000001,6.6768719999999995,,29.936647,0.35157473700184816,0.3867121409938435
1,36,32,,355718204,35046541440,3.363290e-01,,29.866306,0.933828,6.416759,14.1114,0.291338,0.07549,7.757156999999999,,26.567393,0.35166629904906826,0.3428057422166936
1,36,29,,354876008,29728346832,2.929300e-01,,28.052257,0.9021170000000001,5.993524,12.657954,0.431146,0.079801,6.748582,,28.157435,0.350054530551786,0.3427318079093046
1,36,26,,354198454,27905530536,2.642340e-01,,28.221661,0.7735029999999999,6.270043,12.499487,0.328308,0.084093,6.753433,,28.899417,0.3554402122067164,0.3434279860309979
1,36,23,,353556660,22649551668,2.230440e-01,,25.131299,0.785533,5.745702,11.194476,0.259392,0.091328,5.931507,,27.7479,0.33886183921511204,0.33910730626681496
1,36,20,,353152178,20991839040,2.088170e-01,,27.281949,0.8621179999999999,6.114782,11.841743,0.287191,0.10701400000000001,6.210262999999999,,29.172363,0.3353913279739168,0.351265048788407
1,36,18,,352238119,17982871560,1.894400e-01,,25.13257,0.9021990000000001,5.81304,10.99824,0.399817,0.112902,5.7241480000000005,,27.114338,0.3388827186480324,0.3552643794398641
1,36,16,,351865349,16910566272,1.774430e-01,,25.61162,0.938863,6.141375,11.482123,0.41602700000000004,0.125206,6.021724,,24.921512,0.32582142731429153,0.3268243640851462
1,36,14,,350490230,16467819984,1.670710e-01,,28.105994,0.98161,6.847371,12.353318999999999,0.42232000000000003,0.14291299999999998,6.253566999999999,,25.818195,0.3289030105901359,0.2959579924046605
1,36,12,,347619339,14401991376,1.451480e-01,,26.410365,1.1159629999999998,6.978852,12.109568000000001,0.507354,0.153388,6.15111,,20.673635,0.32173947704081635,0.268843989445614
1,36,10,,340901141,11251656360,1.227540e-01,,26.706552,0.9765579999999999,6.545924,11.569312,0.503215,0.175105,5.975988,,25.535364,0.32946739742250497,0.34339986700184966
1,36,8,,333172928,8395788672,9.161330e-02,,23.853989,1.107457,6.091803,10.249361,0.555925,0.20283,5.088886,,23.228669,0.323343680795304,0.2952196809413638
1,36,6,,327412433,7169242608,7.590080e-02,,25.75236,1.2598260000000001,6.923007,11.23398,0.706786,0.261405,5.428044,,20.358752,0.3225795238915318,0.2663605700307899
1,36,4,,309123622,4967176608,6.579990e-02,,25.819897,1.4897580000000001,7.186536,10.667022,0.9103049999999999,0.353506,4.980078000000001,,19.544001,0.3365712935330299,0.2334616945980269
1,36,2,,221976235,2228414328,2.381910e-02,,21.598338,1.684814,6.493812,7.866325,1.176224,0.473111,3.248761,,17.034424,0.38080960466445696,0.19448606745733704
1,36,1,,170687922,1299446136,1.918010e-02,,20.905533,1.671437,7.55269,7.7618149999999995,1.762533,0.771287,1.654703,,5.151457,0.28282343310083136,0.0002442351854658516
