"#n iters","initial #n node","rule"
9,17,"step_erase_create"

"file_base","#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
"work_steal",1,36,35,,4898683754,102790826460,6.959320e-01,,55.679363,2.5759100000000004,19.681936,19.279207999999997,1.147828,1.668702,10.395154000000002,,0.167314,1.3795572025365752,0.005641516076589389
"noLB",1,36,35,,4390458449,103864209120,5.538540e-01,,62.556851,4.372282,20.481658,18.903258,3.116895,3.636543,10.696745,,0.32026,3.6576812857134633,0.03133563127833308
"fullLB",1,36,35,,4701615958,102740483160,7.032080e-01,,57.187919,2.6309880000000003,20.215006,19.034883,1.322478,1.891573,11.134451,,0.170849,1.8917620724707622,0.0060322001701592935
"balance",1,36,35,,4166249289,103193506080,7.614250e-01,,57.190788,2.7022230000000005,19.828188,17.390127,1.232434,1.795683,13.170022,,0.169573,2.398629612602024,0.008166461553759817
