"#n iters","initial #n node","rule"
9,17,"step_erase_create"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,38,,4281898460,112395904632,7.707550e-01,,56.004397,2.710019,19.786915,17.128525,1.039889,1.567152,12.714936,,0.161247,2.292749875278714,0.007024656019141208
1,36,35,,4161572664,103218278940,7.619540e-01,,55.993233,2.788756,19.788861,17.218542,1.140636,1.705224,12.489449,,0.171332,2.4123206299188333,0.005904691361442691
1,36,32,,4014511189,94031940096,7.508570e-01,,54.52322,2.5319740000000004,19.64852,14.312309,1.282229,2.029172,13.608809,,0.111795,2.606776258923829,0.006022766470858885
1,36,29,,3853906893,84891038220,7.337850e-01,,64.673699,3.396683,19.606144,17.649005,1.482183,2.751036,18.696686,,0.203339,2.474193396357852,0.007351888692686082
1,36,26,,3765871278,75663506880,7.216900e-01,,69.71311,3.9568399999999997,19.729385,16.617464000000002,1.9271159999999998,2.855789,23.427725,,0.212086,3.397049563844728,0.007360533062302597
1,36,23,,3576027010,66578623020,7.067530e-01,,64.683497,3.5764820000000004,19.405303,16.958108,1.702529,2.815942,19.012650999999998,,0.216075,2.302701865440348,0.006992441700996898
1,36,20,,3374637116,57486844800,6.652820e-01,,75.518861,4.427458,19.286553,17.832404,2.4891240000000003,3.943853,26.099767,,0.246352,3.250305605209173,0.014601121402996187
1,36,18,,3212307144,51333059232,6.618260e-01,,68.048564,3.804848,19.068474,13.107099,2.180259,3.3032369999999998,25.177594,,0.161883,3.0860705413641942,0.011136023618160814
1,36,16,,3096685494,45338960448,6.003340e-01,,80.037592,4.2923,19.090727,14.814516000000001,3.056285,4.10559,33.194798,,0.202803,2.8813544113440495,0.013502427976974159
1,36,14,,2921001939,39354689808,6.101050e-01,,69.822178,4.245254,18.867197,12.723078000000001,3.037445,3.6857469999999997,25.76744,,0.185228,3.0189435886226543,0.013971059273556553
1,36,12,,2745172881,33365430144,5.754930e-01,,73.668162,4.441121,18.904353,12.791084999999999,2.7490050000000004,3.7074719999999997,29.643312,,0.185118,2.7968116328389208,0.019031125247284928
1,36,10,,2509674667,27462582720,5.532110e-01,,81.667301,4.905648,18.530292,15.968822,2.885248,3.545636,34.330891,,0.223746,2.31034808704016,0.025331706310833098
1,36,8,,2293940654,21602804256,4.909870e-01,,76.197022,4.686292,18.173101,12.438210999999999,3.734786,3.854329,31.65693,,0.184339,2.2364478972212836,0.026334807706364843
1,36,6,,1972916303,15896949408,4.557870e-01,,71.922534,4.713007999999999,18.016021,12.434341,3.656455,3.728639,27.743031,,0.189085,1.7763793038335527,0.02745188430809152
1,36,4,,1552982575,10415507472,4.175370e-01,,70.471133,4.753247,17.625954,12.185803,4.018268,3.792808,26.527503,,0.180059,1.224430510213704,0.027484659078741046
1,36,2,,1031200515,4949727192,3.552230e-01,,59.040217,4.809835,16.744153,11.53908,3.659742,3.560802,17.099277999999998,,0.161373,0.7530503050877552,0.028478558621943543
1,36,1,,593341119,2426407884,3.380760e-01,,51.903153,4.783581000000001,16.041729,10.445729,3.527965,3.511217,12.345778,,0.129479,0.4430074353866546,0.0011562128603766109
1,36,1,,593341119,2426407884,3.380760e-01,,51.903153,4.783581000000001,16.041729,10.445729,3.527965,3.511217,12.345778,,0.129479,0.4430074353866546,0.0011562128603766109
1,36,1,,593341119,2426407884,3.380760e-01,,51.903153,4.783581000000001,16.041729,10.445729,3.527965,3.511217,12.345778,,0.129479,0.4430074353866546,0.0011562128603766109
1,36,1,,593341119,2426407884,3.380760e-01,,51.903153,4.783581000000001,16.041729,10.445729,3.527965,3.511217,12.345778,,0.129479,0.4430074353866546,0.0011562128603766109
