"#n iters","initial #n node","rule"
11,11,"step_split_merge"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,41,,10204428535,38485296324,2.959380e-01,,44.016129,4.829989,9.150816,13.137189999999999,3.017943,3.708305,7.661236,,20.563614,0.12954702052353523,0.1252400645202177
1,36,38,,9697388406,35694557784,2.935270e-01,,43.980639,4.888735,9.181263,12.517653000000001,3.0434729999999997,3.7563549999999997,7.3325759999999995,,21.510167,0.12115877403153916,0.12724233467116527
1,36,35,,9196693190,33038364240,2.893920e-01,,43.839992,4.778452999999999,9.24515,12.217583000000001,3.061471,3.8629279999999997,6.934689,,21.78947,0.10851135624229179,0.1276765115316303
1,36,32,,8707620055,29918098944,2.864420e-01,,43.438136,4.7694280000000004,9.133336,11.999293,3.070519,3.974014,6.711571999999999,,21.148411,0.0941481317505776,0.12841427044041664
1,36,29,,8333373166,25268488452,2.824800e-01,,43.18509,5.157632,8.450052,10.936305,2.9151879999999997,4.142691,6.708575,,24.255502,0.10019885156473375,0.18174328015170563
1,36,26,,7595817286,22735756368,2.843910e-01,,43.055245,5.682498000000001,8.480309,10.10671,2.964995,4.193083000000001,6.781861,,24.490109,0.13412387907038034,0.19533155688158182
1,36,23,,6665483131,21156300036,2.740630e-01,,43.820922,5.920207,8.909554,10.079069,3.123586,4.188042,6.5599050000000005,,24.095838,0.216608595299926,0.1848479994420833
1,36,20,,5716031442,19427516640,2.643870e-01,,44.128205,5.808665,9.443107,10.427810000000001,3.261502,4.1413910000000005,6.27665,,22.191605,0.20990836172910088,0.1436139853653689
1,36,18,,5091343942,18470487672,2.569960e-01,,39.140083,5.79322,10.010166,10.635086999999999,3.3632539999999995,4.08666,6.139296,,9.774567,0.20610707090871516,0.1170578121000191
1,36,16,,4517821897,16951358592,2.528550e-01,,39.648428,5.887397,10.358017,10.8801,3.4544259999999998,4.085543,6.119375,,9.257198,0.19883204239735303,0.0995145823420182
1,36,14,,3938480147,15359280552,2.409730e-01,,40.039986,5.780754999999999,10.729972,10.946242000000002,3.5345940000000002,4.0800790000000005,5.960466,,8.563805,0.19671769345558937,0.09270900946513567
1,36,12,,3369826947,13752584352,2.315110e-01,,40.865319,5.827145000000001,11.178366,11.426305,3.477731,3.9751190000000003,5.973463,,8.666406,0.18152472945610454,0.09315114554926669
1,36,10,,2802598949,12141545400,2.241080e-01,,41.692115,5.653355,11.823552,12.084961999999999,3.679795,3.990355,5.775887000000001,,7.508613,0.1640850732666848,0.0686112049668892
1,36,8,,2241496477,10483496640,2.225420e-01,,44.362756,5.975632,12.859374,12.341341,3.883245,4.024962,6.093898,,8.020378,0.14951917082736427,0.0693557094114749
1,36,6,,1749008132,7899232536,2.132500e-01,,43.480459,5.777282,12.996103,12.026895000000001,3.9109100000000003,4.215246,5.538603,,7.535735,0.12326642172558251,0.09313369399498402
1,36,4,,1234456134,5184588096,1.883080e-01,,43.012824,5.723006000000001,12.8195,11.573875000000001,3.793267,4.3842229999999995,4.907104,,7.222897,0.10929842094105136,0.08060295084293911
1,36,2,,738571628,2363333040,1.630690e-01,,42.030476,6.203836999999999,11.702866,9.320196000000001,3.8205350000000005,5.123468000000001,3.746561,,10.751083,0.1306446398156667,0.13643771001995839
1,36,1,,367875746,1460561040,1.516470e-01,,45.195389,6.331803,14.548538,10.388959,4.425583,5.144995000000001,2.363111,,6.134202,0.10838958490585558,0.06823180951142085
