"#n iters","initial #n node","rule"
13,14,"step_erase_create"

"#n thread per rank","#n task per node","#n node","","#n object","#n symb. object","total_proba","","execution time","pre-symbolic-iteration","symbolic-iteration","collisions","pre-object-generation","object-generation","communication","","time inbalance","NoO inbalance","NoO symb. inbalance"
1,36,42,,72127552,24321437784,1.000000e+00,,12.051723,0.28700899999999996,3.79037,3.245003,0.063729,0.026835,3.0824759999999998,,0.143788,0.1641229604427726,0.052755236404818294
1,36,41,,72127552,24321435012,1.000000e+00,,12.462098,0.27367600000000003,3.908219,3.4143280000000003,0.06902,0.031034000000000003,3.115871,,0.155538,0.1640391092814371,0.060831583468246055
1,36,38,,72127552,24321438072,1.000000e+00,,13.25191,0.3227459999999999,4.236089,3.823675,0.069782,0.033474000000000004,3.291081,,0.174384,0.15821989074828752,0.06475814576989294
1,36,35,,72127552,24321438540,1.000000e+00,,14.102145,0.33496200000000004,4.577398,4.055107,0.069135,0.039221,3.531526,,0.163601,0.12460567823343849,0.05779923657426885
1,36,32,,72127552,24321439872,1.000000e+00,,14.821793,0.351493,4.953934,4.303533,0.070269,0.042676,3.526969,,0.150813,0.09685839981015315,0.04637368601266339
1,36,29,,72127552,24321438468,1.000000e+00,,16.125447,0.390975,5.546664,4.880377,0.087992,0.046372,3.728274,,0.168638,0.11496591886705049,0.06121981008479552
1,36,26,,72127552,24321438648,1.000000e+00,,17.587719,0.43784500000000004,6.079465,5.1658290000000004,0.068474,0.04785,4.384658,,0.147605,0.05889856276234408,0.03622756123731419
1,36,23,,72127552,24321439332,1.000000e+00,,18.705315,0.46315800000000007,6.823138,5.724928,0.070206,0.04341,4.111403999999999,,0.143228,0.043481113137489015,0.030503662134168302
1,36,20,,72127552,24321439440,1.000000e+00,,21.102175,0.559422,7.829713,6.58913,0.074722,0.052983,4.654792,,0.148206,0.05046148931558111,0.03968252957975418
1,36,18,,72127552,24321439728,1.000000e+00,,22.183954,0.389232,8.893625,6.215991,0.07967199999999999,0.060703,5.046169,,0.090065,0.05249160565578568,0.06044784060655178
1,36,16,,72127552,24321440448,1.000000e+00,,23.73606,0.41802300000000003,9.860095,6.8110479999999995,0.074846,0.078165,5.30966,,0.076834,0.03674598176391665,0.04206654002206243
1,36,14,,72127552,24321439296,1.000000e+00,,26.812137,0.471117,11.219488,7.430833,0.089455,0.068721,5.950478,,0.06468,0.021411685780915568,0.03726797271200442
1,36,12,,72127552,24321440592,1.000000e+00,,31.03787,0.5696549999999999,13.083362,8.859344,0.09867799999999999,0.073155,6.645601,,0.076559,0.02067974124653455,0.0386558128595905
1,36,10,,72127552,24321440880,1.000000e+00,,36.983956,0.667167,16.098231,10.649389000000001,0.088259,0.08722,7.859336000000001,,0.090959,0.022458257987598616,0.06850552515456067
1,36,8,,72127552,24321441024,1.000000e+00,,44.352018,0.814592,20.057406,13.163819,0.066604,0.102999,9.444155,,0.088096,0.013969068165949427,0.06341002963098114
1,36,6,,72127552,24321441240,1.000000e+00,,57.051217,1.018983,26.077084,16.76507,0.116622,0.130489,11.955058,,0.060001,0.0058321810440425505,0.041818985230498616
1,36,4,,72122127,21203468928,9.998600e-01,,74.007287,1.242619,33.274072,21.999805000000002,0.201926,0.169277,16.447532000000002,,0.049339,0.0008534506561757652,0.0016483129302416757
1,36,3,,71874032,15661454544,9.991890e-01,,67.053982,1.266858,32.534182,20.083302,0.132835,0.233069,12.353266999999999,,0.01973,0.00041921445396458327,0.001718792077988232
1,36,3,,71874032,15661454544,9.991890e-01,,67.053982,1.266858,32.534182,20.083302,0.132835,0.233069,12.353266999999999,,0.01973,0.00041921445396458327,0.001718792077988232
